Campaign Number,Name,Start Date,End Date,Channel,Client,Street,City,State,State,Country,Zip,Email,Phone,Contact,Gender,Age,Location,Views,Likes,Clicks,Conversions,CR,Expense,Executive
210,Campaign 210,2023-04-11,2023-04-25,Instagram,Jones|Miranda|Martin,45011 Marc Roads Apt. 548,Johnsonbury,NJ,New Jersey,USA,40892,kristenhoward@yahoo.com,+5580039387927,Christine Barnes,Male,60+,UK,71686,5027,2118,418,0.00583,16370.76,Thomas Ryan
211,Campaign 211,2023-09-09,2023-09-10,YouTube,Noble|Mcneil|Cooper,36911 Gay Streets Suite 795,Brentmouth,LA,Louisiana,USA,62951,sarahparks@yahoo.com,+35660863350070,Mark Garcia,Male,40-60,Europe,93126,8387,397,593,0.00637,1678.84,Wesley Simon
212,Campaign 212,2023-08-26,2023-09-19,Facebook,Weaver|Garner|Ramos,2933 Ortiz Overpass Suite 099,South Douglasburgh,KY,Kentucky,USA,52632,oscott@gmail.com,+4989787718501,Melinda Johnston,Female,18-40,Japan,87849,9115,2807,855,0.00973,24941.38,Brandon Townsend Jr.
213,Campaign 213,2023-04-26,2023-05-07,Facebook,Hernandez Inc,9452 Amber Mills,Lopezville,NV,Nevada,USA,94038,uhansen@livingston.com,+151947089311832,Traci Holden,Male,60+,Canada,22504,2483,4581,161,0.00715,46360.11,Melissa Haynes
214,Campaign 214,2023-02-18,2023-03-03,TikTok,Lewis|Martinez,37059 Bates Prairie Suite 432,Port Robertmouth,MN,Minnesota,USA,28374,joshua06@king.com,+36383636475385,Angela Anderson,,13-19,Australia,19514,5399,2864,114,0.00584,25885.48,Aaron Faulkner
215,Campaign 215,2023-09-05,2023-09-14,TikTok,Herrera|Cook,0613 David Haven Apt. 354,North Samantha,MI,Michigan,USA,10699,ijordan@gmail.com,+8808919091,Madison York,Male,40-60,Europe,87046,2283,3926,574,0.00659,27420.15,Wesley Simon
216,Campaign 216,2023-01-12,2023-01-30,Facebook,Vaughan Group,PSC 0937,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,baldwinhailey@klein-fitzgerald.com,+1349058667435806,Ashley Carter,Female,60+,UK,50518,8988,3618,742,0.01469,30734.25,Jesus Rivera
217,Campaign 217,2023-07-13,2023-07-16,Email,Griffin Inc,Unit 3822 Box 8338,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,dixonamber@hotmail.com,+880002060856308,Theodore Murphy,Female,60+,India,96158,3966,4234,988,0.01027,37725.4,Brandon Townsend Jr.
218,Campaign 218,2023-05-11,2023-05-15,TikTok,Roberts|Brown,725 Peter Lights Apt. 639,South Janet,WV,West Virginia,USA,83873,nguyendustin@gmail.com,+6259188416213,Samantha Hudson,,18-40,Japan,38018,494,3583,409,0.01076,29241.84,Thomas Ryan
219,Campaign 219,2023-03-24,2023-04-12,YouTube,Ramirez|Wilson,6802 Scott Ways,Jasonbury,NM,New Mexico,USA,94299,robertellis@simpson-gutierrez.com,+41408698958325,Christine Nguyen,,60+,USA,93611,4481,3879,145,0.00155,28487.5,Becky Brown
220,Campaign 220,2023-07-27,2023-07-28,TikTok,Reed|Galloway|Buck,49317 Vincent Vista Suite 462,Port Nathan,CA,California,USA,23364,larrygraham@lucas.com,+6697082006,Andrea Simmons,,60+,UK,48884,8732,2697,733,0.01499,13783.31,Wesley Simon
221,Campaign 221,2023-05-03,2023-05-17,TikTok,Anderson Inc,Unit 0015 Box 7678,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,jgomez@gmail.com,+3584216618006,Morgan Gross,,18-40,Japan,26525,654,3983,470,0.01772,2085.65,Thomas Ryan
222,Campaign 222,2023-09-21,2023-10-09,Email,Patterson|Sons,0171 Patricia Street Suite 265,Frankmouth,MS,Mississippi,USA,50700,nataliemartinez@hotmail.com,+2281662016,Christopher Riggs,,40-60,UK,43919,3920,2321,874,0.01990,39934.57,Jesus Rivera
223,Campaign 223,2023-11-10,2023-11-18,YouTube,Lewis PLC,621 Woodard Manors Apt. 208,Port Amy,ME,Maine,USA,05157,beth20@gmail.com,+3825051266,Diana Love,Male,60+,India,76705,8816,433,191,0.00249,24797.91,Thomas Ryan
224,Campaign 224,2023-01-11,2023-01-30,Email,Ruiz|Cox|Meyer,5058 Frank Locks,Blackmouth,MI,Michigan,USA,07896,vjohnson@yahoo.com,+4875323908871,Anne Davis,Male,60+,LATAM,31051,4678,511,619,0.01993,3159.33,Aaron Faulkner
225,Campaign 225,2023-05-19,2023-06-15,Email,Hunt|Woods|Saunders,48531 Garcia Walk,Gonzalesville,WY,Wyoming,USA,31844,rramsey@warren.com,+1628025355066010,April Brewer,Male,18-40,UK,20061,5171,3913,724,0.03609,44366.1,Melissa Haynes
226,Campaign 226,2023-09-29,2023-10-23,Facebook,Reed|Johnson,01161 Mcintyre Burg,Robinsonport,CO,Colorado,USA,51964,stacy50@bates-martin.com,+15223213506854,John Terrell,Female,18-40,Canada,93816,8182,735,570,0.00608,22458.34,Becky Brown
227,Campaign 227,2023-06-30,2023-07-23,Email,Holloway|Cox|Ford,7800 Dorsey Tunnel Suite 734,West Tracy,UT,Utah,USA,56027,joseph49@hodges-campbell.com,+0118358647901,Dennis Carr,,60+,UK,33137,6620,150,558,0.01684,24859.4,Brandon Townsend Jr.
228,Campaign 228,2023-09-07,2023-09-20,Facebook,Brown|Lawrence|Collins,069 Jeffrey Neck,North Jeffreyberg,VI,Virgin Islands,USA,70669,tracyfields@evans.com,+135132085844902,Thomas Fleming,Male,40-60,USA,58386,5027,3557,309,0.00529,43293.8,Michael Camacho
229,Campaign 229,2023-06-02,2023-06-16,TikTok,Gray Ltd,Unit 4555 Box 7398,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,owenmelinda@yahoo.com,+1728597837,Mark Long,,40-60,UK,16137,9136,1614,210,0.01301,24679.21,Jesus Rivera
230,Campaign 230,2023-03-20,2023-03-27,YouTube,Hernandez|Keller|Berry,Unit 2637 Box 1240,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,mary90@yahoo.com,+2033156167,Kristin Carson,Male,18-40,Europe,75241,517,4189,469,0.00623,18198.94,Thomas Ryan
231,Campaign 231,2023-05-18,2023-06-06,Email,Mitchell|Rojas,Unit 7421 Box 5134,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,johnathan43@hotmail.com,+12115886353,Benjamin Anthony,Male,60+,Japan,75825,3926,2033,258,0.00340,24846.22,Thomas Ryan
232,Campaign 232,2023-01-19,2023-02-16,Facebook,Ramos|Gomez|Garcia,PSC 8675,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,huntdavid@orr.info,+9348330793693,Eric Harrison,Female,18-40,Australia,60294,9400,3909,839,0.01392,9326.99,Kyle Serrano
233,Campaign 233,2023-08-18,2023-08-26,Email,Schneider PLC,872 Davila Ville Apt. 985,Millerland,GA,Georgia,USA,42888,beasleycraig@yahoo.com,+1430693791,Stephen Murphy,,18-40,Europe,53223,9372,4037,443,0.00832,20408.5,Lauren Riggs
234,Campaign 234,2023-05-22,2023-06-20,Facebook,Arnold|Smith|Ward,Unit 2316 Box 4709,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,michelle93@pineda-small.com,+6404886159251,Karen Bryan,Male,60+,Europe,70305,4081,2324,426,0.00606,7540.35,Jesus Rivera
235,Campaign 235,2023-05-04,2023-05-20,YouTube,Roberts|Brown,725 Peter Lights Apt. 639,South Janet,WV,West Virginia,USA,83873,nguyendustin@gmail.com,+6259188416213,Samantha Hudson,Male,40-60,Europe,91895,5610,913,300,0.00326,38428.43,Thomas Ryan
236,Campaign 236,2023-03-10,2023-04-05,Instagram,Lewis PLC,621 Woodard Manors Apt. 208,Port Amy,ME,Maine,USA,05157,beth20@gmail.com,+3825051266,Diana Love,Female,60+,USA,41426,6642,2018,598,0.01444,23287.94,Thomas Ryan
237,Campaign 237,2023-04-12,2023-04-20,TikTok,Wall|Cruz,7470 Harris Roads Suite 137,Brookefort,MP,Northern Mariana Islands,USA,32507,davidponce@turner-copeland.com,+53982372697824,Robert Cruz,Female,18-40,India,1182,8784,4893,631,0.53384,28795.37,Becky Brown
238,Campaign 238,2023-11-24,2023-12-19,Instagram,Salinas|Chavez,53637 Bonnie Walk Suite 961,South Adrianaport,IA,Iowa,USA,49560,richard84@hotmail.com,+2545622603,Chelsea Hoffman,,18-40,Japan,7341,4379,2347,815,0.11102,32122.01,Thomas Ryan
239,Campaign 239,2023-08-08,2023-08-17,Instagram,Lyons PLC,20804 Burgess Trace,Petersenburgh,WV,West Virginia,USA,31082,nicholastaylor@yahoo.com,+4964036865,Sharon Crawford,Female,60+,UK,49227,5760,1189,669,0.01359,3663.51,Lauren Riggs
240,Campaign 240,2023-10-01,2023-10-07,TikTok,Arnold|Smith|Ward,Unit 2316 Box 4709,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,michelle93@pineda-small.com,+6404886159251,Karen Bryan,,13-19,Japan,18306,2551,3790,192,0.01049,40526.03,Jesus Rivera
241,Campaign 241,2023-07-02,2023-07-28,Instagram,Bradley|Jackson|Miller,190 Bradley Mill Suite 940,Craigbury,MO,Missouri,USA,18832,hansonpatrick@hunt.com,+3551561435486,Dr. David Glass Jr.,,13-19,UK,39779,301,2969,778,0.01956,25050.42,Melissa Haynes
242,Campaign 242,2023-03-24,2023-04-21,YouTube,Patterson|Sons,0171 Patricia Street Suite 265,Frankmouth,MS,Mississippi,USA,50700,nataliemartinez@hotmail.com,+2281662016,Christopher Riggs,Female,18-40,India,49274,7642,864,546,0.01108,45462.95,Jesus Rivera
243,Campaign 243,2023-04-08,2023-04-25,TikTok,Edwards LLC,123 Amanda Summit,Lake Marietown,IL,Illinois,USA,81773,tinamckay@sharp-smith.com,+506912217980069,Matthew Davis,Male,60+,Canada,57194,4740,1387,426,0.00745,22195.76,Melissa Haynes
244,Campaign 244,2023-11-25,2023-12-08,Email,Salinas|Rodriguez|Bowman,04604 Davidson Underpass Apt. 439,Lake Tiffany,DC,District of Columbia,USA,35416,gutierrezjames@yahoo.com,+155494860860863,Laura Caldwell,Male,18-40,UK,45050,785,3276,955,0.02120,14095.29,Thomas Ryan
245,Campaign 245,2023-12-01,2023-12-29,TikTok,Reyes|Rios,49937 Christopher Unions,Gutierrezmouth,MI,Michigan,USA,13751,cunninghamjerry@gmail.com,+1463956594400079,Eric Davis,Male,40-60,LATAM,18222,2139,2232,546,0.02996,2704.04,Wesley Simon
246,Campaign 246,2023-11-24,2023-12-07,Instagram,Vaughan Group,PSC 0937,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,baldwinhailey@klein-fitzgerald.com,+1349058667435806,Ashley Carter,,18-40,India,41919,5266,2162,60,0.00143,48198.53,Jesus Rivera
247,Campaign 247,2023-07-05,2023-07-17,TikTok,Hernandez|Keller|Berry,Unit 2637 Box 1240,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,mary90@yahoo.com,+2033156167,Kristin Carson,Female,40-60,India,49487,5232,290,503,0.01016,31751.24,Thomas Ryan
248,Campaign 248,2023-11-28,2023-12-03,TikTok,Russell|Wilson|Rogers,27907 Deborah Hill Suite 235,Abigailbury,CO,Colorado,USA,58408,michael78@yahoo.com,+9952136315,Michael Howard,Female,60+,Europe,48676,6957,1404,67,0.00138,48003.68,Thomas Ryan
249,Campaign 249,2023-10-25,2023-11-08,Facebook,Cohen|Williams|Hess,93243 Lee Loop Apt. 832,North Jonathanland,MP,Northern Mariana Islands,USA,43605,shawn39@gmail.com,+314858550923447,Mr. Nicholas Ramirez,Female,60+,USA,3552,2267,2193,776,0.21847,5731.82,Jesus Rivera
250,Campaign 250,2023-07-02,2023-07-10,YouTube,Herrera|Cook,0613 David Haven Apt. 354,North Samantha,MI,Michigan,USA,10699,ijordan@gmail.com,+8808919091,Madison York,Female,18-40,USA,6999,5059,1520,870,0.12430,15337.51,Wesley Simon
251,Campaign 251,2023-05-23,2023-05-24,Facebook,Morris|Johnson|Anderson,065 John Street,West Adamchester,NV,Nevada,USA,72944,johnsondonald@meyer.com,+32261892539220,Sandy Mathis,Male,40-60,Japan,50597,6044,4848,829,0.01638,47775.13,Kyle Serrano
252,Campaign 252,2023-02-03,2023-02-15,Email,Jones LLC,89103 Jennings Cape Suite 740,South Dianafort,FL,Florida,USA,68504,norrisjames@pearson-burton.biz,+36395706167906,Danielle Hernandez,Female,18-40,India,44685,7146,2472,195,0.00436,34858.39,Aaron Faulkner
253,Campaign 253,2023-03-30,2023-04-23,YouTube,Harmon Inc,3532 Carla Spurs Suite 631,East Susanside,VA,Virginia,USA,63110,steven77@miller.com,+1293472414472086,Heidi Black,,13-19,Canada,69497,4449,2161,661,0.00951,33824.73,Kyle Serrano
254,Campaign 254,2023-12-28,2024-01-08,YouTube,Melton|Smith,03793 Jacobs Branch,West Max,MA,Massachusetts,USA,54633,mercertimothy@huff.com,+7295758232,Patrick Abbott,Female,40-60,UK,42913,8735,2052,156,0.00364,43875.02,Lauren Riggs
255,Campaign 255,2023-11-29,2023-12-17,Email,Lopez PLC,0806 Watson Drive Suite 662,Port Andrea,DE,Delaware,USA,42578,zmcintyre@bauer.info,+3724028579,Barbara Walker,,18-40,LATAM,92432,3803,2670,899,0.00973,2443.89,Lauren Riggs
256,Campaign 256,2023-02-26,2023-03-21,TikTok,Fisher Group,880 Watson Ramp Suite 059,Reynoldsfurt,GU,Guam,USA,10725,brian57@hotmail.com,+11851687120,Jeremy Baker,Female,18-40,USA,29162,3113,405,884,0.03031,42149.82,Melissa Haynes
257,Campaign 257,2023-06-19,2023-07-08,Facebook,Hughes|Sullivan,5874 Guerra Courts Suite 368,South Codyhaven,OR,Oregon,USA,93465,williamsnathaniel@yahoo.com,+4158607532,Roy Obrien,,18-40,UK,70893,1460,108,918,0.01295,12450.96,Brandon Townsend Jr.
258,Campaign 258,2023-12-08,2023-12-22,Facebook,Rowe|Morse|Morgan,247 Young Spur,North Jacobview,WI,Wisconsin,USA,24275,hstafford@yahoo.com,+9344111363,Destiny Atkins,,40-60,Canada,10409,2284,698,578,0.05553,18122.36,Becky Brown
259,Campaign 259,2023-11-25,2023-12-14,TikTok,Lyons PLC,20804 Burgess Trace,Petersenburgh,WV,West Virginia,USA,31082,nicholastaylor@yahoo.com,+4964036865,Sharon Crawford,,60+,LATAM,64277,2793,2892,211,0.00328,25246.47,Lauren Riggs
260,Campaign 260,2023-03-19,2023-04-05,TikTok,Holloway|Cox|Ford,7800 Dorsey Tunnel Suite 734,West Tracy,UT,Utah,USA,56027,joseph49@hodges-campbell.com,+0118358647901,Dennis Carr,Male,60+,USA,52085,5853,2313,83,0.00159,9598.66,Brandon Townsend Jr.
261,Campaign 261,2023-02-17,2023-02-21,Email,Weaver|Garner|Ramos,2933 Ortiz Overpass Suite 099,South Douglasburgh,KY,Kentucky,USA,52632,oscott@gmail.com,+4989787718501,Melinda Johnston,Male,18-40,Europe,11318,7532,419,227,0.02006,46395.27,Brandon Townsend Jr.
262,Campaign 262,2023-01-26,2023-02-04,YouTube,Weaver|Hoover,050 Andrews Green,North Renee,VT,Vermont,USA,22014,jacqueline32@dominguez.biz,+5741894981166,Kathy Mahoney,Female,40-60,Australia,38312,9046,1095,383,0.01000,19841.55,Brandon Townsend Jr.
263,Campaign 263,2023-05-18,2023-06-05,Email,Riley PLC,699 Anderson Glen,Parkerside,AZ,Arizona,USA,15616,jennifer09@york.org,+6536891510,Gary Reed,,60+,Europe,29780,7666,1319,288,0.00967,19213.68,Kyle Serrano
264,Campaign 264,2023-10-06,2023-11-02,Facebook,Reyes|Rios,49937 Christopher Unions,Gutierrezmouth,MI,Michigan,USA,13751,cunninghamjerry@gmail.com,+1463956594400079,Eric Davis,,18-40,Canada,16680,1429,4901,785,0.04706,25834.85,Wesley Simon
265,Campaign 265,2023-10-02,2023-10-15,YouTube,Pearson|Shah,5117 Suzanne Branch,Barnesmouth,VA,Virginia,USA,53846,anthony54@perez.com,+6441946281,Shannon Martinez,Male,18-40,Japan,78790,3047,4540,154,0.00195,35104.71,Jesus Rivera
266,Campaign 266,2023-12-15,2024-01-01,TikTok,Reyes|Rios,49937 Christopher Unions,Gutierrezmouth,MI,Michigan,USA,13751,cunninghamjerry@gmail.com,+1463956594400079,Eric Davis,,13-19,Europe,47138,5670,753,209,0.00443,8919.17,Wesley Simon
267,Campaign 267,2023-06-11,2023-06-12,Instagram,Jones|Miranda|Martin,45011 Marc Roads Apt. 548,Johnsonbury,NJ,New Jersey,USA,40892,kristenhoward@yahoo.com,+5580039387927,Christine Barnes,Male,40-60,USA,46229,388,3594,65,0.00141,9698.99,Thomas Ryan
268,Campaign 268,2023-12-24,2024-01-04,Facebook,Lyons PLC,20804 Burgess Trace,Petersenburgh,WV,West Virginia,USA,31082,nicholastaylor@yahoo.com,+4964036865,Sharon Crawford,Female,18-40,Japan,55356,9752,3522,9,0.00016,41521.94,Lauren Riggs
269,Campaign 269,2023-01-18,2023-01-28,YouTube,Lewis PLC,621 Woodard Manors Apt. 208,Port Amy,ME,Maine,USA,05157,beth20@gmail.com,+3825051266,Diana Love,Female,18-40,USA,49440,7366,4549,115,0.00233,37006.86,Thomas Ryan
270,Campaign 270,2023-06-22,2023-07-11,Instagram,Fox|Carter|Cunningham,99919 Michelle Green Apt. 424,West Hannah,KY,Kentucky,USA,63482,bradymcclain@hotmail.com,+1172175730,Andre Manning,,60+,Europe,54282,8645,4654,945,0.01741,47381.95,Brandon Townsend Jr.
271,Campaign 271,2023-06-02,2023-06-30,TikTok,Herrera|Cook,0613 David Haven Apt. 354,North Samantha,MI,Michigan,USA,10699,ijordan@gmail.com,+8808919091,Madison York,,40-60,Japan,60243,1886,1459,479,0.00795,6350.77,Wesley Simon
272,Campaign 272,2023-05-22,2023-06-11,Facebook,Morris|Johnson|Anderson,065 John Street,West Adamchester,NV,Nevada,USA,72944,johnsondonald@meyer.com,+32261892539220,Sandy Mathis,Male,18-40,Japan,44967,7515,4479,576,0.01281,49165.84,Kyle Serrano
273,Campaign 273,2023-07-28,2023-08-08,TikTok,Jackson Inc,96299 Miller Spur,Jensenfurt,CA,California,USA,97794,jeremy09@yahoo.com,+5576707467238,Karen Rivers,Female,60+,India,40872,3804,4711,553,0.01353,18294.51,Thomas Ryan
274,Campaign 274,2023-04-19,2023-05-14,YouTube,Holloway|Cox|Ford,7800 Dorsey Tunnel Suite 734,West Tracy,UT,Utah,USA,56027,joseph49@hodges-campbell.com,+0118358647901,Dennis Carr,Male,18-40,India,19926,1565,1665,502,0.02519,33168.43,Brandon Townsend Jr.
275,Campaign 275,2023-01-11,2023-02-02,TikTok,Ramos|Gomez|Garcia,PSC 8675,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,huntdavid@orr.info,+9348330793693,Eric Harrison,Male,60+,India,9413,601,433,393,0.04175,13779.68,Kyle Serrano
276,Campaign 276,2023-04-29,2023-05-12,Instagram,Lewis|Martinez,37059 Bates Prairie Suite 432,Port Robertmouth,MN,Minnesota,USA,28374,joshua06@king.com,+36383636475385,Angela Anderson,Female,18-40,Europe,86592,176,622,133,0.00154,42298.12,Aaron Faulkner
277,Campaign 277,2023-03-06,2023-03-25,Instagram,Wade PLC,3571 Harvey Centers,Ronaldfurt,NY,New York,USA,35589,nhall@hotmail.com,+3305264186670,Lacey Crane,Male,60+,UK,88603,3637,4448,436,0.00492,1521.88,Lauren Riggs
278,Campaign 278,2023-06-25,2023-07-05,Email,Reyes|Rios,49937 Christopher Unions,Gutierrezmouth,MI,Michigan,USA,13751,cunninghamjerry@gmail.com,+1463956594400079,Eric Davis,,40-60,USA,7433,5626,2456,427,0.05745,35126.7,Wesley Simon
279,Campaign 279,2023-05-29,2023-05-30,YouTube,Pearson|Shah,5117 Suzanne Branch,Barnesmouth,VA,Virginia,USA,53846,anthony54@perez.com,+6441946281,Shannon Martinez,,13-19,Australia,49501,7596,1874,243,0.00491,23405.52,Jesus Rivera
280,Campaign 280,2023-11-30,2023-12-27,Email,Walter Ltd,591 Gallegos Shore,East Jennifer,VT,Vermont,USA,67675,gravessusan@gonzalez.com,+4034303913,Sarah Warren,Female,40-60,LATAM,29954,5314,2521,376,0.01255,32658.57,Aaron Faulkner
281,Campaign 281,2023-02-28,2023-03-29,Facebook,Reed|Johnson,01161 Mcintyre Burg,Robinsonport,CO,Colorado,USA,51964,stacy50@bates-martin.com,+15223213506854,John Terrell,Male,60+,Australia,50133,2819,2190,788,0.01572,5045.36,Becky Brown
282,Campaign 282,2023-06-25,2023-07-18,Facebook,Holloway|Cox|Ford,7800 Dorsey Tunnel Suite 734,West Tracy,UT,Utah,USA,56027,joseph49@hodges-campbell.com,+0118358647901,Dennis Carr,Female,60+,India,60550,896,4112,400,0.00661,25131.41,Brandon Townsend Jr.
283,Campaign 283,2023-12-08,2023-12-19,Email,Morris|Johnson|Anderson,065 John Street,West Adamchester,NV,Nevada,USA,72944,johnsondonald@meyer.com,+32261892539220,Sandy Mathis,Female,18-40,USA,55597,183,2812,112,0.00201,36218.33,Kyle Serrano
284,Campaign 284,2023-05-24,2023-06-17,YouTube,Cooper|Alexander,01438 Kristin Fords Apt. 626,Port Paula,WA,Washington,USA,20979,gchavez@yang.com,+2844015003,Alexandria Hansen,,40-60,UK,1635,6010,2903,655,0.40061,22870.55,Thomas Ryan
285,Campaign 285,2023-07-19,2023-08-09,Instagram,Jimenez|Sons,8451 Walter Fords Apt. 737,South Danielchester,CT,Connecticut,USA,12719,amartinez@oconnell.com,+4051640984570,Justin Cole,Female,60+,UK,47051,4195,3301,638,0.01356,7636.7,Jesus Rivera
286,Campaign 286,2023-01-19,2023-02-17,Email,Edwards LLC,123 Amanda Summit,Lake Marietown,IL,Illinois,USA,81773,tinamckay@sharp-smith.com,+506912217980069,Matthew Davis,Female,40-60,Europe,86575,3507,4583,848,0.00979,31135.38,Melissa Haynes
287,Campaign 287,2023-04-12,2023-04-26,YouTube,Jones|Miranda|Martin,45011 Marc Roads Apt. 548,Johnsonbury,NJ,New Jersey,USA,40892,kristenhoward@yahoo.com,+5580039387927,Christine Barnes,,13-19,LATAM,78607,2227,118,533,0.00678,7123,Thomas Ryan
288,Campaign 288,2023-01-28,2023-02-23,Email,White Ltd,172 Angela Crescent Apt. 306,North Laura,HI,Hawaii,USA,69094,jeremy56@gmail.com,+3201853187395,Nathan Weber,Female,40-60,LATAM,88620,2517,923,782,0.00882,21730.71,Jesus Rivera
289,Campaign 289,2023-03-22,2023-04-21,Instagram,Ramirez|Wilson,6802 Scott Ways,Jasonbury,NM,New Mexico,USA,94299,robertellis@simpson-gutierrez.com,+41408698958325,Christine Nguyen,Male,60+,Canada,23729,5216,3157,195,0.00822,27155.8,Becky Brown
290,Campaign 290,2023-09-13,2023-10-04,Facebook,Reed|Johnson,01161 Mcintyre Burg,Robinsonport,CO,Colorado,USA,51964,stacy50@bates-martin.com,+15223213506854,John Terrell,,60+,India,59959,1179,1717,375,0.00625,38813.68,Becky Brown
291,Campaign 291,2023-10-24,2023-11-18,Instagram,Anderson Inc,Unit 0015 Box 7678,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,jgomez@gmail.com,+3584216618006,Morgan Gross,,60+,India,46400,1744,2307,693,0.01494,22702.47,Thomas Ryan
292,Campaign 292,2023-12-23,2023-12-25,Instagram,Hernandez|Keller|Berry,Unit 2637 Box 1240,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,mary90@yahoo.com,+2033156167,Kristin Carson,,40-60,UK,91497,8424,4850,667,0.00729,22472.58,Thomas Ryan
293,Campaign 293,2023-10-16,2023-10-23,YouTube,Drake|Vasquez,8980 Cox Park,South Robert,NV,Nevada,USA,66099,tylersheila@hicks.com,+1238005701,Teresa Doyle,Male,60+,Australia,2264,3548,2766,527,0.23277,18305.89,Michael Camacho
294,Campaign 294,2023-11-20,2023-12-02,Instagram,Mitchell|Rojas,Unit 7421 Box 5134,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,johnathan43@hotmail.com,+12115886353,Benjamin Anthony,,40-60,Europe,32046,3670,681,273,0.00852,44367.51,Thomas Ryan
295,Campaign 295,2023-06-08,2023-06-18,Instagram,Rowe|Morse|Morgan,247 Young Spur,North Jacobview,WI,Wisconsin,USA,24275,hstafford@yahoo.com,+9344111363,Destiny Atkins,Female,60+,Canada,91003,983,4595,164,0.00180,10171.02,Becky Brown
296,Campaign 296,2023-11-30,2023-12-25,Email,Patterson|Sons,0171 Patricia Street Suite 265,Frankmouth,MS,Mississippi,USA,50700,nataliemartinez@hotmail.com,+2281662016,Christopher Riggs,,60+,Canada,22873,4249,555,364,0.01591,37109.37,Jesus Rivera
297,Campaign 297,2023-09-16,2023-10-13,Facebook,Ramirez|Wilson,6802 Scott Ways,Jasonbury,NM,New Mexico,USA,94299,robertellis@simpson-gutierrez.com,+41408698958325,Christine Nguyen,Female,40-60,Japan,84089,8526,1949,932,0.01108,40168.16,Becky Brown
298,Campaign 298,2023-04-20,2023-04-28,Facebook,Holmes|Johnson|Rodriguez,USCGC Erickson,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,polsen@alexander-smith.net,+1479099839029817,Anne Foley,,40-60,India,16388,2784,2761,992,0.06053,5001.57,Wesley Simon
299,Campaign 299,2023-11-12,2023-12-05,Instagram,Thomas|Proctor,820 Butler Streets Suite 875,North Denisehaven,WV,West Virginia,USA,66736,brownmario@leonard.com,+3718900231,Angela Moore,Female,40-60,India,26571,4017,2809,342,0.01287,14355.98,Wesley Simon
300,Campaign 300,2023-01-22,2023-02-04,TikTok,Valentine|Dunn,723 Julia Burg,Bartonhaven,VT,Vermont,USA,86914,gharrington@yahoo.com,+5835472748,Nathan May,,60+,Australia,69008,1054,1962,558,0.00809,31697.81,Melissa Haynes
301,Campaign 301,2023-07-04,2023-07-19,Instagram,Patterson|Sons,0171 Patricia Street Suite 265,Frankmouth,MS,Mississippi,USA,50700,nataliemartinez@hotmail.com,+2281662016,Christopher Riggs,Male,18-40,LATAM,70387,8301,2988,959,0.01362,11043.77,Jesus Rivera
302,Campaign 302,2023-07-28,2023-08-10,Instagram,Lewis|Martinez,37059 Bates Prairie Suite 432,Port Robertmouth,MN,Minnesota,USA,28374,joshua06@king.com,+36383636475385,Angela Anderson,,13-19,Australia,72426,2326,3578,983,0.01357,7033.14,Aaron Faulkner
303,Campaign 303,2023-03-16,2023-03-19,Instagram,Green|Blake,230 Brandon Bypass Apt. 679,New Melissa,TN,Tennessee,USA,37505,karenpayne@yahoo.com,+399882061459395,Dustin Ramirez,Male,60+,Japan,41672,8720,1739,786,0.01886,13014.36,Jesus Rivera
304,Campaign 304,2023-01-04,2023-01-17,Facebook,Gray Ltd,Unit 4555 Box 7398,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,owenmelinda@yahoo.com,+1728597837,Mark Long,Male,40-60,Australia,48382,8160,1199,165,0.00341,25875.11,Jesus Rivera
